AS65_0,G88890,PNP_Main_450,GupDM_HAJ,SID258_4M,HD-21,EGAR00001421023_9002000001488665,SAMEA7045910,EGAR00001421109_9002000001528680,SID8383f34a-7ae6-11e9-a106-68b59976a384,wHAXPI034459-60,G88820,SAMEA7045893,SAMEA7045198,PNP_Main_571,MH0122,G88968,SID9a888218-7ae6-11e9-a106-68b59976a384,SID5468-3,PNP_Main_508,G69185,EGAR00001420383_9002000001290653,EGAR00001420755_9002000001419730,b9169706-7ae6-11e9-a106-68b59976a384,MSMA26DG,dea84d70-7ae6-11e9-a106-68b59976a384,YEZ_N-26,SID157_12M,SID5454-4,SAMEA7045629,wHAXPI034465-71,EGAR00001420948_9002000001465778,SAMEA7045355,G88876,G80606,EGAR00001421205_9002000001572920,b0cbb25c-7ae6-11e9-a106-68b59976a384,GupDM_HCY,PNP_Main_575,wHAXPI032801-32,EGAR00001420170_9002000001208331,SID6f42328e-7ae6-11e9-a106-68b59976a384,SAMEA7045138,PNP_Main_374,HSM67VEU,EGAR00001420885_9002000001451692,SAMEA7045315,PNP_Validation_65,SAMEA7041172,f8f2bfd0-7ae6-11e9-a106-68b59976a384,Travel060,MSM79HCR,MH0018,EGAR00001420788_9002000001426789,EGAR00001421200_9002000001569080,P15E0,G80351,MH0149,G78738,EGAR00001420312_9002000001263816,G78687,e9ff4638-7ae6-11e9-a106-68b59976a384,wHAXPI032660-40,MH0179,MH0052,SAMEA104142122,G88836,SAMEA7041198,b501148e-7ae6-11e9-a106-68b59976a384,G88809,PNP_Main_319,EGAR00001421213_9002000001577190,SAMEA7041136,G69153,EGAR00001420700_9002000001404594,AS68_24,EGAR00001420215_9002000001227800,MH0090,G88972,G89061,SID5461-2,SAMEA7045785,SAMEA7045108,ESS-0268,G88815,SID82edf4b2-7ae6-11e9-a106-68b59976a384,SAMEA104142351,AS58_24,EGAR00001420587_9002000001377630,EGAR00001420934_9002000001462687,G80440,SAMEA7045471,DHAK_HCT,EGAR00001420965_9002000001472585,EGAR00001420640_9002000001391235,HSM7J4KC,EGAR00001420596_9002000001380210,PNP_Main_588,EGAR00001420156_9002000001202507,abfa3a3c-7ae6-11e9-a106-68b59976a384,A19_01_1FE,A15_02_1FE,A58_01_1FE,V50_02_1FE,A42_02_1FE,A10_02_1FE,A40_02_1FE,A70_03_1FE,A83_02_1FE,KHG_7,A19_03_1FE,A01_02_1FE,A10_01_1FE,A81_03_1FE,A66_02_1FE,A90_03_1FE,A34_02_1FE,V32_02_2FE,A39_02_1FE,TZ_91827,TZ_83893,A05_01_1FE,A62_03_1FE,A62_01_1FE,V19_02_2FE,JAS_3,V50_01_2FE,JAS_9,A23_01_1FE,A47_02_1FE,A85_01_1FE,LDK_2,TZ_83985,JAS_8,V19_01_2FE,A29_01_1FE,TZ_83788,A72_02_1FE,TZ_65172,TZ_10742,A55_02_1FE,KHG_10,A44_01_1FE,TZ_65642,A73_02_1FE,A43_02_1FE,TZ_42041,JAS_1,TZ_24827,TZ_40311,JAS_10,A54_02_1FE,A07_01_1FE,TZ_90808,LDK_3,TZ_70090,TZ_16581,A04_01_1FE,V50_01_1FE,A91_02_1FE,TZ_67706,A08_01_1FE,V31_01_2FE,TZ_73414,TZ_99300,TZ_14139,A94_03_1FE,A36_02_1FE,LDK_9,A09_02_1FE,V30_01_1FE,V53_02_1FE,TZ_60579,A79_02_1FE,A55_01_1FE,V06_02_1FE,A56_01_1FE,KHG_3,A49_01_1FE,TZ_27689,A70_01_1FE,LDK_6,A32_01_1FE,A03_01_1FE,TZ_41014,A24_04_1FE,A36_01_1FE,A81_01_1FE,A93_01_1FE,V48_03_2FE,A39_01_1FE,A82_02_1FE,A95_01_1FE,V12_01_2FE,A67_01_1FE,A94_02_1FE,A24_02_1FE,LDK_4,TZ_83627,V54_01_1FE
15.1504,1.95072,3.88894,20.99067,0.0513,18.8337,0.15877,5.31945,1.52001,0,14.8436,10.24411,0,2.12074,2.48518,12.84772,4.7588800000000004,0,0.27974,0.01108,0.03829,1.89878,0,0,9.31111,0,11.62659,0.02241,13.78953,5.27106,0.09759,0,2.99431,13.03975,0.27918,4.88223,0,6.20418,0.13206,1.94138,0.74933,0,0.12667,0.71491,0.00698,0.20448,5.60421,3.8209,8.14427,0,11.43484,0,10.17628,0.26244,4.98312,21.51209,0,11.64348,0.00482,0,0.01278,15.49177,24.87636,11.999,3.72698,10.36639,6.36691,0,6.29164,2.81898,1.88565,0.60333,4.47529,20.02638,0.03025,15.37323,0.0908,1.66786,5.76947,3.72969,0.66575,13.93042,0.90523,29.47225,0.83704,22.53657,1.57652,4.20839,0,0.12617,34.08068,9.94571,0,1.62675,0.49735,5.97398,0.52868,23.22141,0.32628,0,0,0,1.09485,0.03425,0,0,0,0.09768,0.01323,0.48891,0,0.47286,0,0.89749,0,0.00475,0,0,0,0,0,0,0,0,0.01528,0,0.09064,0.0068,0,0,0,0.0544,0,1.74099,0.56939,0.91436,0,0,0,0,0.99524,3.68663,0,0,0,0,0,0.08774,0,0,0,0,0.02829,0,0,0,0,0,0,4.60808,0,0,0.06071,0,0,0,0.07438,0,0,0,0.00726,0.06252,0,0.06222,0,0,0.00712,0.029760000000000002,0,0,0,0,0,0,0,0.76587,0,0,0,0,0,0,0.0092,0.00707,0,0.43127,0,0,0,0.16727
19.03904,0,0,20.33553,0,22.62447,0,0,0.21151,0,5.93242,0.7108,0,0.0295,0.00189,0,0,0,0.11228,0,0,0,0,0,9.1354,0,2.63213,0,4.383,2.53684,0.19823,0,20.57498,0,0,0.9546,0,0.28923,0,0.14086,0,0,0,0.23045,11.22441,0.00689,0.72893,24.85425,0,0,2.8877100000000002,0,0.4153,0.26057,5.45535,19.84629,4.4424,0,0,0,0,0,0.10138,0,0,5.61187,0.67557,0,0,0.43524,8.9e-4,0,0.61157,14.21305,0,0,0.00256,1.22504,0,0.58996,0.09794,1.6647,0.21421,0.2063,0.16701,0,0.10608,0,0,0,0,0,0,0,0.0412,0.87967,0,0,1.30417,0,0,0,0,0,0,0,0,0,0,0.00693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02662,0,0,0,0,0,0,0.17175,0,0,0,0,0,0,0.18747,0,0,0,0,0,0,0,0,0,0,0.02905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00246,0,0,0,0,0,0.00578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00371,0,0.28202,0,0,0,0,0.18377
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23943,1.06772,0,1.24612,0,0,0,0,0,0.49523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106,0,0,0,0,0,0.50175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.24789,0.44508,0,0,1.33792,0.13707,0.06269,0.02345,0,0.02085,0.04243,0.01671,0.04196,0.14267,2.98297,0.36565,0,1.25994,0.28665,1.86287,0,0,0,0.78341,0,0.16244,0.00382,0.30743,2.96058,0,0.00187,0,0.13192,0,0.06473,0,0,0.01907,0.44358,0,0,0.02028,0.9048,0.02075,0.04507,1.04411,0.25639,0.07715,0,0.55503,0.06114,0,0,0.23266,2.42914,0.38693,0,0,0,0,0.498,0.01605,0.03914,0.45016,0.205,0,0.25513,0,0.02112,0,0.03278,0.03127,0,0,0.02997,0.00441,0.20843,0.02754,0.02437,0.16925,0.17648,0.5393,0.19182,0,0.01628,0.0688,1.04791,0.04539,0.54374,0.02782,0.06635,0,0.28119,0,0,0.08682,0,0.40657,0,0.02238,0,0,0.02182,0,0,1.70144,0.01258,0,0.00499,0,0,0,0.00385,0.02269,0.28491,0.05711,0,0,0,0,0,0.00629,0.07681,0.28316,0,0.08126,0.02555,0,0.02338,0,0,0,0.0241,0.01265,0,0.38142,0.52703,0.10467,0,0.00752,0,0,0,0,0,0,0.60643,0,0,0,0.54689,3.47202,0,0,0,0,0,0,0,0.55354,0,0.0915,0,0,0,0,0,0.01099,0,0.06075,0,0,0.02616,0,0,0.80154,0,0.00812,0,0,0,0.00578,0,0,0,0,0,0,0,0,0,0.02848,0.1473,0,0,0.17627,0,0,0.39841
1.74614,0.65428,0.82375,3.02973,0,2.05165,0.06716,1.92861,0.32715,0,1.57239,0.66114,12.65916,0.89924,2.32309,0,0.33194,0,0.06804,0.76757,7.92662,0.07182,0,0,0,0,0.2395,5.70066,0,0.20855,0.03756,0.66319,1.28075,1.15778,0,0.77198,0,0.21305,0.99705,0.17518,0.01211,0,0.47276,0.15825,0.8518,0,0.10005,1.33982,2.09117,0,0.53054,0,1.06871,0.04212,1.02129,0.49122,0.52509,3.80789,0,0,6.99155,5.82303,1.69988,7.5646,0.64591,0.45728,1.04686,30.46543,0,0.22071,0.8976,0.16983,0.48709,2.52796,0.03804,1.36837,0.30628,1.39608,0.53,1.29405,0.07874,1.74112,1.14909,1.16346,0.5438,0.82185,0.73088,0.74699,0.37848,0,14.57502,0.99812,0,1.24142,0.02191,0.37618,0.38759,1.2534,0.16839,0,0,0,0.93335,0.03427,0,0.0284,0,0.13155,0,0.01386,0,0.29011,0,0.71594,0,0.0531,0,0,0.08117,0,0,0,0,0.00973,0,0,0,0,0,0,0,0.04034,0,0.25336,0.12126,0.21254,0,0.00628,0,0,0.01075,4.6563,0,0,0,0.03065,0,0.00337,0,0,9.9e-4,0,0.01917,0,0,0,0,0,0,0.0131,0,0.04366,0.01559,0,0,0,0.06487,0,0,0.00203,0.00158,0,0,0.07376,2.16277,0,0.02728,0,0,0,0.00389,1.7e-4,0.0083,0,0,0,0,0.07911,0,0.40763,0,0.06822,0.00556,0.04244,1.04102,1.44921,0,0.03111,0,0.01639
2.81869,3.9354,5.93812,1.44676,0.00159,0.15682,0.22861,0.16714,0.85231,0,0.06148,6.66679,0.01605,0.35181,7.73825,11.72039,9.03478,0,10.39018,0.73744,0.90368,4.12959,0,0,0,0,0.40312,0.04361,6.27327,7.65138,0.32143,0.40984,0.32893,0.65351,0,13.59344,0,0,0.96128,1.36766,8.97522,0,0,3.21385,3.31159,1.42384,3.4405,2.47316,0.09965,0,0.16956,0.23299,0.58834,0,3.70295,1.13598,0,0.61106,0,0.33823,0,0,6.94794,2.71142,8.2701,3.81671,13.52678,0,0,0.71955,0.03897,10.79997,0,0,0.00173,0.82727,0.4044,1.69896,0.63245,2.42448,12.0339,3.88696,0,0.05004,0,0,0.25047,0,5.46207,7.49249,0,0.23353,0.9567,6.29686,3.13517,0,0,7.26792,1.25413,0,0,0,2.13036,2.57979,0.21208,5.3546,39.57168,0.15267,0.73479,0.1858,0.40596,8.8432,1.71771,1.62447,2.44907,1.83736,2.23941,1.87366,0.25468,0.31893,0,1.28061,0.69253,0.08746,2.97231,6.8284,1.55973,2.31595,6.45784,0.32394,2.01403,4.19813,0.26912,17.45222,0.0231,1.20728,0.03281,1.43014,0,0,0.11536,7.11,2.34052,0,0.16884,0.90306,0,4.92623,0.36789,0,2.70874,0.75105,4.44045,2.43261,0.33544,0.27648,0,1.35669,5.16628,0,0,0.05216,0.43747,0,0,0,3.25288,2.59687,1.40309,0.20748,0.70615000000000006,1.83266,0,0.72965,0,3.27632,1.89705,5.25641,25.26293,1.2617,4.13479,1.57903,0.28822,0.43007,0,36.81469,4.68344,0,0.06804,1.84033,3.6715,0,0.05557,2.51516,0.15915,0.93703,0.17739,1.66139,0,1.30933
0.03131,2.80437,9.1161,0.64361,0,0.03776,0.57548,0,2.10638,0,5.86188,12.93528,1.43529,0.00234,1.04429,7.16453,3.58863,0,2.84761,2.38659,1.28631,2.44096,6.60055,0,0.03771,0,6.59929,0,3.01469,11.50672,0.11119,1.00705,10.05979,10.77794,0,0.27035,0,2.12862,0.00581,1.50318,0.31456,0,5.50838,2.4552,3.53519,13.33819,2.33504,0.33013,6.18121,0,1.11629,1.93035,0.07038,5.20301,0,3.48496,0.19382,0.36377,0.03582,0.3647,0.00842,0,3.52932,0,3.57706,0,0.05666,0,0,10.93452,0.03641,3.50812,4.53838,0,3.17205,0.02545,2.01383,0.98571,1.51356,10.84138,6.5878,5.69211,1.0933,0.06478,7.14149,0,3.59145,0.76715,8.06066,0.48898,1.89107,3.07571,0.10742,2.82388,0.06461,0.01355,4.82441,1.46886,0.2095,0,0.02593,51.8129,0.1668,19.29686,1.12821,4.08197,0.2051,1.73313,1.65521,0.13186,3.99685,2.77617,0.64949,13.19012,1.27763,23.86719,0.16388,0.16017,1.33273,0.54531,0.93861000000000006,12.10774,0.67361,0.50554,13.94486,1.10762,0.05968,2.11376,1.02511,1.37649,6.96804,3.00712,1.84603,2.06059,5.7215,3.3395,1.6783,5.8442,5.54441,0.58324,1.4028,10.39453,4.0679,0.7828,0.96263,0.50667,0.48038,1.53103,0.24494,2.66681,4.59473,17.52565,7.2607,3.33716,0.12624,3.53365,0.06736,2.48402,1.84994,25.26778,1.54607,4.89705,1.87825,0.47468,0.11136,6.6185600000000004,0.2876,20.69182,2.0534,0.15821,1.71347,0.25647,3.9948,2.02472,0.09176,0,20.13157,2.20358,2.02536,1.1403,14.22453,1.96544,26.63588,3.08273,2.7529,13.84683,1.97261,1.35348,0.50929,4.77531,0.74329,2.73992,6.84239,28.6935,13.61064,0.18691,2.1077,3.25189,0.18888,5.66
26.24134,5.22331,0.55845,0.66402,0,5.70738,1.10392,3.72259,0.52452,0,8.83912,1.58034,16.45219,7.05761,12.66385,7.08425,2.2424,0,0.33233,10.85126,0,1.17564,0.84177,0,9.97624,0,11.41281,10.41654,5.68852,2.20357,0.01156,0,5.83714,6.7804,0.02043,1.10438,0,2.67976,0.35013,1.21116,0.3541,0,0.05194,0.952,9.9125,0.00948,6.72624,5.18154,6.68667,0,5.42059,0,1.21662,0.93618,7.67461,12.54105,13.41803,11.2587,0.00117,0,8.27941,2.94823,18.58767,0,3.0733,1.56244,5.6513,0,0,1.35998,1.28052,0.25247000000000003,1.65956,5.77794,0.11614,9.56544,0.79446,14.52249,5.45823,3.12665,0.9072,6.30211,3.07902,13.03703,2.6141,10.07685,3.48708,3.91605,1.81052,0.2852,0,4.38929,0,7.42393,0.15834,0.21354,0.65086,10.69014,3.59311,0,0.04133,0,30.47151,0,0,0,0,0.02873,0,0.00949,0,0.18237,0,0.3488,0,0.20477,0,0,0,0,0,0,0,0,0.03467,0,0.01764,0,0,0,0,0.02513,0,1.35826,0.66364,0.1933,0,0,0,0,0.2982,1.18511,0,0,0,0.087,0,0,0,0,0.00146,0,0.04007,0,0.00265,0,0,0,0,0.22182,0,0.03636,0.01078,0,0,0,0.00229,0,0,0,0.00488,0.00535,0,0,1.56694,0.11458,0.05026,0,0.00319,0,0,0,0.02739,0,0,0,0.00723,0.00633,0,0.01569,0,0,0.01845,0.04199,0.22415,0.51862,0,0,0,0.0518
0,0,0,0,0,0.12332,0,0,0,0,0.66696,0,0,0,0.00642,0,0,0,0,0.00405,0.08545,0,0,0,0,0,2.40263,0,0.13961,0,0,0,0,0,0,0,0,0,0,0.03685,0,0,0,0,0.38868,0,0.0011,0,0.0044,0,0.02098,0,0.00171,0,0,4.00102,0,0,0,0,0,0,0.02477,0.14327,0.06827,0,0,0,0,0.00941,0,0,0.00491,0,0,3.61202,0,0.02421,0,0,0,0,0,0.12674,0,0,0,3.64028,0,0,0,0,0,0,0,0,0.10634,0.0221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
